text,sentiment
"hari ini aku masih libur, masih ada waktu seminggu untuk di rumah. aku manfaatin libur seminggu ini untuk belajar persiapan PTM kalian yang hari ini sekolah semangaaatttt yaa!! https://t.co/hVo5HRXBI3",1
yg ptm hari ini semangaattt,1
yg lagi ptm sini ciss dulu,1
yang ptm semangat ya,1
yang ptm selamat menikmati hari bahagia kalian ya,1
yang ptm mangats,1
"todayyy!!! udah ptm tapi ga ngapa""in just a ceremony https://t.co/CrMNIxvI1c",1
"tl sepi, pasti lagi pada ptm ya",1
tiap ptm kek gini enak kali ya.... https://t.co/6MFtw2LkVu,1
ternyata ptm 100% gk se bad itu,1
tapi drpd pjj gini mending ptm sih..,1
stay tuned saya bakal pap ptm keseharian saya ya guys #firstdayofschool,1
smngt yg ptm https://t.co/EAJZgJr30j,1
smngt yg PTM aiwkaowkwk,1
"setelah liat anak"" SMA PTM, gw jd merasa kurang puas dengan masa SMA gw",1
"seru bgt udh ptm full ak sgt iri krn sekolah offline cuma 1,5 taun tbtb udh mw smt 2 ajg",1
seru bgt pada ptm,1
"serius deh, tadi pagi ngeliat anak-anak pada sekolah karena wilayahku udah PTM 100% kayak apa yaa mauuu nangis karena ""finally bisa kayak dulu lagi""",1
seneng bangetttt hari ini udah mulai ptm dan ngadain tukeran kadoo!!!,1
semoga hari ini dpt duid enak yg ptm dpt jjn aq g soalny aq pjj,1
semangatt yg hari ini udah ptm https://t.co/GKmK4005SV,1
"semangat yg udah ptm hari ini, hv a nice day",1
semangat ya yg ptm hari ini :D siapa yg masuknya tgl 10,1
semangat semua mutualku yang udah ptm GBU,1
semangat ptm yall agw ptm tgl 10,1
semangat ptm gais,1
semangat dah yang lagi ptm,1
semangat buat yang ptm hari ini dan semangat jg yang mulai uas hari ini,1
semangat bestie yang hari ini mulai ptm https://t.co/o7wFyzOEpf,1
semangaaat yg ptm hari inii,1
selamat sekolah ptm bagi yang menjalankan,1
"selamat pagi, selamat ptm",1
selamat hari senin dan selamat sekolaahh buat yg PTM? semogaa semua diberi kesehatan dan perlindungan aamiin!!!!!!!,1
selamat hari senin dan selamat sekolaahh buat yg PTM?? semoga semua diberi kesehatan dan perlindungan aamiin!!!!!!!!,1
sekolah mending enakan ptm daring gini jadi susah fokus palingan di rumah belajar pas malem yg keadaannya sepi gitu,1
sebenernya gue pengen ptm cuma cari uang jajanya wkwkwk,1
sdg duduk di kelas melihat PTM 100% berlangsung,1
sch! SENENG BANGET UDAH PTM 100%!! semangat kalian yang lagi sekolah!! https://t.co/S7UrsRVJAL,1
ptm seru juga,1
ptm guys https://t.co/vNamqS1Q1t,1
ptm gak seburuk itu tp tetep flop kata gue,1
ptm di awal 2022 yuhuu https://t.co/N1ZmGDq8b1,1
ptm day1 done aaaa abis ini ada daring lagii,1
ptm brok https://t.co/NznmAXjoYG,1
"ptm apanich jam 9 dah balik, mana ga pelajaran lagi. ke sekolah cuman bersih-bersih kelas hadeh gini amat tapi saya sangat suka",1
"plspls liat tl banyak yg ptm, kangen serunya sekolah dahhh",1
pls bsk ptm kek,1
pertama masuk ptm langsung free class aowkowk https://t.co/3j987uX1hH,1
pengen cepet2 PTM sih akkkkkk bosen abis,1
"pagii gaess buat yg lagi ptm,uas,kerja,dllsemangat ya",1
pada mulai PTM bikin kangen sekolah,1
"orng orng mau daring, LAH GUE???? GUE MAU PTM",1
okee sejauh ini ptm aman tidak begitu menakutkan…,1
ohhh skrng ptm?? akhirnya adek w kyk anak sekolah beneran,1
"ni anak sekolah yg ga siap ptm 100% blg kalo omicron gmn, ya kalo pemerintah udah buat kebijakan berarti emang aman ga sih? kalo ga adakan ptm untuk yg mau aja pls daripada diberhentiin, akuuuu mau ptm huaaaaa ;(((((",1
ngeliat yg pada ptm jd kangen sekolah zzzz,1
"ngeliat temen pada ptm gw jg kepengen anj, tapi pkl blm kelar nnti sebulan setelah kelar gw baru masuk kan kek asuw",1
"ngeliat anak2 smp sma pada ptm jadi kangen jaman sekolah deh :"")",1
"met pagi moots, buat yang ptm semangat sekul! have a nice day",1
mendingan ptm 100% daripada pkl pen mewek rasanyaaa,1
knp yh belum ptm seratus persen padahal pengen,1
knapa dri dlu i ga ikut ptm sih https://t.co/EqnkaTnn06,1
kapan sekolah ku bisa ptm 100%,1
kalian yg ptm semangat ptm,1
jd pengen ptm satu tahun PLS MENURUT GUE WALAUPUN CUMA BERAPA JAM JUGA EFEKTIF EFEKTIF AJA,1
ini yang sekolah udah pada mulai ptm yaa? ihiy semangatt,1
"ini keknya pada ptm dehh, semangat yaww",1
ih anak sma uda pada full ptm yaa hari ini? SEMANGATTT BUAT MUTUAL KU YG PD SEKOLAHHH,1
"hai kalian yang udah mulai ptm, semangat ya dari gw yang baru libur",1
gua juga pengen ptm,1
"eyyowww habis ini udah PTM 100% ajaa, untung jam mapelnya 6 jam/hari",1
enak ya pd ptm 100% :’),1
bismillah depok PTM 100%,1
"bangun pagi, gosok gigi, cuci muka, ptm lagi https://t.co/1vPywRYKyo",1
awali pagimu dngn ptm,1
awali pagimu dengan pjj dan ptm,1
asik asik ptm,1
alasan semangat ptm cmn mau uang saku nya doank,1
ak lg ptm kelasnya enk bgt fullllllll gk ksosong melompong kaya biasannya https://t.co/eswaVaS5XD,1
"[PTM DAY 1] Jam ke 2 kosong huhu, jadi buat review materi sosiologi smt 1 https://t.co/mS7kNDjGSk",1
Yang ptm semangat!!,1
Wahhh udah ptm 100% y? Good luck!!! https://t.co/RnHqe1mxMG,1
"Udh lah ayo ptm, anak kuliah jg mau ptm",1
Udh PTM 100% ya anak2 sekolah? Moga sehat semua,1
Tengah tahon baru PTM 100%,1
TERIMA KASIH PAK ANIES PTM 100% ANAK BISA KE SEKOLAH Pemerintah DKI mengizinkan PTM terbatas karena menilai kondisi pandemi COVID-19 telah terkendali. https://t.co/4ZwEOdb7mG,1
Sp udh PTM? Semangat kwkwkw,1
Smnggaat yg lgi ptm ato udh masuk sekolah,1
Seru banget ngeliatnya udah pada ptm,1
Semoga sehat selalu selama PTM #Hensat,1
Semangat yang ptm,1
Semangat yang pada ptm ke sekolah semangat juga yang kuliah ptm atau daring,1
Semangat ya yang udah PTM!!!,1
Semangat ptm ts!!,1
Semangat buat yg udah ptm!!,1
"Semangat buat adik adik yang sudah PTM 100%. Kalian enak loh udah bisa ketemu temen temen, waktu aku sampe 2 tahun ga bisa ketemu dan hanya di rumah aja. Tetep semangat belajarnyaa",1
Semangat PTM:') https://t.co/xNkTqqImnN,1
Selamat pagi moots! Siapa nih yang hari ini PTM?? Semangat yaa,1
"Selamat pagi dari aku yang magang, yg PTM semangat yaaa https://t.co/lzncs9yQA7",1
Selamat menempuh PTM 100%,1
dom cilacap udh ptm 100% apa blm?,0
yg dom jabodetabek kalian ptm nya udah 100% kah?,0
yang udh ptm smp apa sma?,0
yang udah ptm 100% daerah mana aja?,0
ya allah semoga kalo ptm full kantin nya buka,0
"waktu PJJ ngeluh pengen PTM, udah disuruh PTM ngeluh juga belom ready huft, siapakah itu?",0
w ntar tgl 10 ptm full tiga angkatan apa full sekelas ya,0
"udh ptm 100%, kalian udh belum? https://t.co/1q2KMLKxOl",0
twt sepi bgt pada ptm yaa,0
twitter sepi anjir. ini pada ptm semua kali ya,0
"tms! yang lagi ptm, coba ajak temen2nya install app sma trus ikut mulung &amp; vote buat trejo",0
ternyata ptm cmn 2jam,0
"tadi pas di angkot gua liat ada anak sekolahan pake seragam rapi, keliatan capek bgt ampe ngangguk2 ketiduran, padahal masih pagi sekitar jam 8an, mungkin harus adaptasi lagi klo ptm tu mesti bangun pagi biar ga telat",0
sp yg hr ini ptm cungg,0
sp yg bsk dh mulai ptm,0
"sneak peek secuil kegiatan w hari ini: ptm siang, beli stationary, decor meja belajar",0
"smngt yg ptm 100%, kl sy si masi 50% hahaha",0
skolahku 100% ptm gk ya,0
siapa yg uda ptm?,0
"sepi bgt, pada ptm kah?",0
selamat ptm gw masih libur,0
selamat pagi manusia manusia yg sdh ptm,0
sekolah ptm 100% sampe jam 4 here we go,0
sch! kalian tim masih daring atau udh ptm? https://t.co/EFGHi8rWvY,0
ritual sebelum ptm 100% https://t.co/Xr5M93KbHC,0
ptm woi https://t.co/DCvHVDlpGu,0
ptm seru gak si,0
ptm senin sampai sabtu,0
ptm 100% siapa ga ya??,0
ptm 100% itu gimana deh maksudnya?,0
"ptm (pembelajaran tatap muka), kasian pulang sekolah pasti mukanya luka semua abis ditatap2in… xixixixixixixi ngakak abieezzz",0
pertama kali ptm lo lupa cara make dasi gak,0
pengen beli tpi udah mulai ptm https://t.co/6gDXwMNNGB,0
"pagiii, udah ada yg ptm ya??",0
"pagi, geu ptm",0
pada ptm ya?,0
"pada ga siap PTM 100% knp sih, apa grgr kelamaan onlen jadi ngefek takut PTM 100%. pdhl namanya sekolah ya harusnya gitu kan? tp emang sih enakan onlen. apalagi kalo keluarganya harmonis beuh enak bgt. kalo broken mending PTM bgt kalo aku hhh",0
orang udh pd ptm gue msh di hotel..,0
"orang -orang ptm 100% ,saya masih libur",0
omg bnyk bgt yg ptm,0
oi kalian ptm nya gimana?,0
oh ini yg kmrn pamer dia masuk besok trny dia ptm aku daring. cie @quecndom xixi gmn brow rasanya https://t.co/wa99tK8px8,0
oalah mingdep ptm 100%,0
nonton black clover keknya satu hari satu eps pas ptm,0
ngerant selama ptm keliatannya asik deh gue gabisaa ngerant soalnya gaboleh bawa hp ke sekolah jleekkk ((tp tetep bawa)),0
"namanyaa doang ptm, tp di sini skrg ga ngapa²in asw. apakah sy hrs plg?",0
muka masuk ptm kek gelandangan,0
"moots yg masih sekolah, PTM gimana keadaanya?",0
"mon mangap untung masi libur, blom masuk ptm https://t.co/nIAsJ37rRK",0
mau seneng tp takut juga lusa ptm,0
mau brkgt ptm,0
"lah, kok baru pada ptm... gue udh ptm dari akhir bulan kemarin, masuk pagi pulang siang.",0
lah udh pada ptm aja https://t.co/7GzJjqFi2a,0
lagi ptm tapi twit jalan tross,0
"ksian yg ptm, dh gbisa koloran lg drumah",0
kok orang-orang seneng PTM 100%,0
kok cepet banget ya udah pada ptm,0
kalo ptm kalo zoom ga masuk materinya,0
kalian yg sekarang sekul 100% ptm kah?,0
kalian udah pada ptm belum???,0
kalian udah full ptm? https://t.co/p4kMo3GrmM,0
kalian ptm?,0
kalian ptm nnti pulang jam brp?,0
kalian masuk ptm nya 100% apa tetep 50% ??,0
kalian hariini ada yang uda ptm 100%? ada waktu istirahat gaa? ptm 100% sampe jam berapaa? fullday kah?,0
jujur ini sebenernya lagi ptm trs belajar pkwu HSNXBSJXN tp boleh pake hp https://t.co/EkZEUqhhm5,0
"inilah akibat urutan duduk ptm sesuai absen, alias belakang gue cowo yg sempet gue crush in https://t.co/2q3wiBlFuc",0
ini udah ptm ya anak sekolah??,0
ini sekolah saya mau full ptm?,0
ini sekolah pada ptm semua yaa?!?!,0
ini kok skolah ku tdk ada ptm,0
ini gue kapan ptm nya sih,0
hot people ptm hari pertama pulang pagi,0
hi gue lg ptm,0
"hari pertama ptm aku pingsan pas apel pagi guys, bner2 pingsan yg merem gt lho MALU BGT ANJROT",0
hari ini lu ptm ga??,0
haii dari aku yng lagi ptm,0
"hai haii, pada PTM ga ni",0
"gue nnti ptm mau duduk paling depan tp ngeri"" sedep",0
"gua udah selesai ptm, ucapin apa?",0
gua ptm lama banget???,0
gua masih ga percaya besok ptm,0
gua harusnya hari ini ptm,0
gimana kabarnya yang ptm,0
di kelas gw agak bandel-bandel dulu pas ptm. temen gw duduk depan guru masih sempet pull kokomi,0
"demi Allah tadi aku berangkat ptm pagi banget kan,nah aku masih ngantuk,nahh trss pas lagi di jalan ituuu aku ketiduran trss miring ke samping mau jatohh, untung megang jaket ayah aku",0
cowokku udah PTM,0
confirmed minggu depan bakal ptm 100% https://t.co/umRbw5dFLY,0
"ciee yang hari ini udh ptm, untung gw mingdep",0
cie lgi ptm xixixixixixixixixi,0
"buat yang hari ini ptm semangat genee (dari sender yang masih libur xixi), jangan lupa vote juga",0
besok ptm masuk semua seangkatan.. tp pulangnya jam 12an si,0
besok ptm lh duduknya udh berdua berdua,0
"besok jadwal baru, tgl 8 bagi rapot, Minggu depan wajib ptm, ga satu sesi sama bestie, ketemu guru PPKn, ada olahraga, yaudah gw main hongsam aja nanti https://t.co/mcEX9TgpBJ",0
besok belajar ptm pjj,0
besok aku mulai ptm full,0
belom ada ptm ygy https://t.co/lMYicodnts,0
beberapa orng seneng PTM 100%,0
baru hari pertama ptm dan pinggang ku udah sakit... yok bisa yok https://t.co/w4AhzyEAnp,0
anw gw ptm dan jamkos ni https://t.co/DU0SgBXSis,0
"yg ptm yg genap seru bgt, yg ganjil kek nya bakal sepi :&lt; (aku ganjil)",2
wtp hr ini gue libur tp BESOK PTM 100%,2
what aku ptm gaboleh bawa hp..,2
weh sy sekolah PTM 100% jadinya kek TBL TBL TBL! mana ga kenal sama tmn sekelas,2
wah di qrt ka fisaa ini artinya mungkin karena ptm udh mulai jadi banyak yg off kaa btw ini bhsa sunda kaa https://t.co/SAMj29cwD8,2
tidak ingin PTM wkwkw,2
tbl tbl ak ntar lg PTM,2
sumpah ih gue berdoa bgt semoga ini ptm cuma seminggu aja abis itu pjj lagi,2
"skrng ku sekolah, rame udh PTM 100% ueue",2
sesok ptm males bngt anjir,2
serem banget dah ini ptm day 1 lgsg mtk,2
semangat yg udh ptm 100% yg laen sekolah gua mlh lg pkl,2
semangat yang ptm *tremor*,2
sekolah gila. ptm pake sesi aja gue udh mual deket orang banyak apalagi mau masuk semua,2
"sebenernya males ptm tp ya gimana ya, ntar kalo ga ikut malah makin goblok",2
ptm udah duduk berdua.... GUA KAGAK PUNYA TEMEN ANJENK,2
ptm tanggal 10 fak,2
ptm ptm tai anjing,2
ptm gjls,2
ptm ga asik,2
ptm aja udah males ini projek lg,2
ptm 100%? mental gw gk siap asli https://t.co/8vcdy1XLAj,2
ptm 100% bikin ngantuk ya... kerudung sekolahku sampe mleyot kemana2 krna klesetan atas meja,2
ptm 100% : males bngt coookk,2
pengen ngomong kasar anjing knp gak dari kemarin ngomong ptm kemarin ditanya blm sekarang ngomong ptm gue belom beli seragam kaga ada motor anjir sebel mau nangis males,2
ngeri jg kalo ptm gak ada istirahat nya,2
"muaaales bngt dah ptm, gaada temen ngomong",2
mls bgt berangkat ptm..,2
"minggu ini kemungkinan banyak jamkos, tpi mingdep ptm 100%, beneran takut bgtt ini",2
masa kata guruku minggu depan ptm 100%???!!,2
"mampuss, rabu ptm 100%",2
males bgt ptm 100% hadeh,2
magerr bgtt shift ptm siangggg,2
kok rasanya beraaaatt banget ya ni ptm 100%,2
kebanyakan orang menangis bukan karena lemah tp krn tgl 17 udh ptm ANJENGGGGG,2
kayaknya udah nyaman sekolah online mau ptm malah pada sedih wkwk,2
"jujur pengen pulang, ptm ini sungguh menyiksaku",2
jujur GUE TERBEBANI DGN ADANYA PJJ TAPI GUE GAMAU PTM DLU,2
jgn ptm 100% dlu deh pls aku masih mau libur seminggu,2
"jam jam segini aja udah ngantuk + laper, gimana mau full ptm",2
"hari pertama PTM Terbatas 100% kapasitas, #jagajarak nya darimana? apalagi dijam istirahat pihak sekolah PASTI tidak mampu mengawasi anak didiknya untuk selalu prokes @Dikpora_bantul @Kemdikbud_RI mudah2an tidak jadi klaster baru @BNPB_Indonesia https://t.co/r5IWZHegHW",2
hadeeh ptm https://t.co/UX8CgKijP8,2
gw ptm masih mingdep.. TAPI TBL TBL TBLLL,2
"gw mager banget belajar tatap muka ( PTM 100% ), nanti bukanya pinter malah baper",2
gue ptm jadi pendiem bngtt anj,2
gue ptm full mingdep anjggg,2
gue minggu depan kayaknya wajib ptm anjing maless,2
gue gamau ptm...,2
"gasiap ptm minggu depan, GKMAU",2
gabung banget ptm gini,2
gaasik bgt bsk ptm 100%.,2
"fiks si ini mingdep udh ptm 100% huhu seneng sii ,tapi maslhnya mapel mtk 3 jam njir gamauu bgtt",2
duh ptm 100% takutt,2
"deg""an mau ptm",2
"day 1 ptm, ngantuk",2
curiga ptm 100% anjir nangis aja dah https://t.co/0dMkGNGJ95,2
"bosen banget, hari ini ptm cuma bagi rapot habis itu jamkos nunggu pulang",2
besoook ptm! pulangnya lebih lama. :(,2
besok ptm... takut banget,2
bentar bentar PTM 100% ? please gua blm siap sidang offline wooooyyyy !!!!! PLEASE GAPAPA ONLINEE SAMPE LULUS GAPAPA!!,2
beberapa orang menangis bukan karena mereka lemah tapi karena PTM 100%,2
apaan ptm 100% pake upacara segala bintang 0,2
apa sangat ini anjg tanggal 10 ptm https://t.co/ygDxvYnkoD,2
abis ngomongin ptm sama nca langsung DIKIRIM JADWAL PTM FULL KAGA JELAS,2
aaaa mingdep udah mulai 100% ptm nya,2
Tuhan bisa ga gue ga ptm @ Tuhan,2
TERUS NGAPAIN SURUH PTM KALO SEHARIAN JAMKOS TERUS PLSSS,2
TBL SEKOLAHKU DAH PTM 100%,2
TAKUT BANGET PTM NSGWIA Bayangin masuk masuk trus pingsan di gerbang pas bangun ada di ruang kelas ketutup semua. Trus ada bunyi ding dong bing bong,2
"Senin pagi,belum mandi, masih daring, nunggu zoom, mikir tanggal 10 Januari sekolah gue PTM 100% ATL (Agak Takut Lochh)",2
Seneng sklh udh ptm 100% tp ulangan dll nanti jg jadi offline,2
"Semoga gak ada PTM 100% omg i'm not ready for it, kaya udah nyaman aja gitu BDR :)",2
"Sekolah lagi ngen PTM 100%, najiis uda syukur offline ini pake hadir lagi pen loncat dri gedung, tpi skolah gue biasany Senin upacara.. lah ini kaga https://t.co/YIUFaTHvdv",2
Ptm hari ini langsung matematika A ELAH ANJING BENERRR MANA MATEMATIKA PEMINATAN,2
Ptm ga seruu huuu,2
Plis tanggal 10 w PTM 100% anjg gasiap asli w mo dirumah aje woiiiii,2
Panik bakalan PTM 100% Panik karena gak punya circle pertemanan https://t.co/FjZYwvWNji,2
"PTM 2 shift, digabung agaknya kaya beda kelas jir #PTM100",2
PTM 100%? Kalo amit2 ada apa2 trus yang mau tanggung jawab siapa?,2
PTM 100% udah kayak mau dihukum gantung aja.,2
PTM 100% LSJSJWOSHSJSJ TOLONG SELAMATKAN SAYAAAA https://t.co/y1Ckjt38qm,2
PTM 100% Is sad news,2
PLISSS MINGDEP UDH 100% FULL PTM TAKUTT BGTT AAA,2
"Mungkin karna pertama kali PTM kali ya anjir, gila gua gemeter trs",2
Mingdep ptm duh duh duh tbl tbl,2
"Manusia emang ga ada bersyukurnya, pas daring pada ngeluh kangen tatap muka lah, bla bla bla. Giliran udah PTM 100% bilang belum siap lah inilah itulah. Ngga usah ada sekolah aja mendingan mah bikin ribet aja.",2
MINGDEP AK FULL PTM OMGG https://t.co/oQ0DVWZz52,2
MAMPUS PTM HARI 1 SIANG BOLONG JAM SET 1 ADA APEL SIANG TAKBIR!!,2
Kita adalah remaja yang belum siap PTM 100%,2
Kalian yang sekarang ptm 100% waktu kbmnya jadi lebih panjang dari waktu ptmt gasi?,2
"Jujur, males banget ptm 100% apalagi kalau jamnya di sekolah ditambah juga",2
Jujur gue pusingg hari 1 ptm,2
JUJUR GUE BELOM SIAP PTM 100% APALAGI KALO UJIAN OFFLINE HUHU https://t.co/kB22kFRY6B,2
Ini anak anak PTM kenapa pada kaga pake masker.. Fakkkk serem banget pada gak pake masker. Warga woy aaakkk takut.,2
INI YG PADA IRI KARNA BLM PTM 100% KU GEBUK JANTUNGMU SAMPE BUNYI SIRINE POLISI [angry],2
"IHHH YANG PTM JAMKOS MULU, giliran sesi gue gada tuh jamkos jamkos yg ada kena semprot mulu",2
"Hari pertama ptm udah ada tugas kelompok aja, anjrt",2
Hari pertama ptm full ditambah lagi dapet itu rasanya ajg banget deh,2
"Hari pertama PTM, ngantuk berat",2
Hadahh baru hari pertama ptm udah dengerin orang bahas au bxg,2
